怀, neg=21, pos=12
退, neg=35, pos=2
耀, neg=6, pos=7
态, neg=25, pos=3
老, neg=43, pos=5
送, neg=4, pos=1
考, neg=7, pos=3
逃, neg=22, pos=1
者, neg=89, pos=10
怅, neg=2, pos=1
逆, neg=9, pos=1
怆, neg=3, pos=1
选, neg=2, pos=3
逊, neg=5, pos=4
而, neg=19, pos=4
耍, neg=11, pos=1
倍, neg=2, pos=2
怎, neg=14, pos=1
透, neg=11, pos=3
逐, neg=13, pos=1
倒, neg=35, pos=1
怒, neg=52, pos=2
递, neg=2, pos=1
途, neg=10, pos=2
倔, neg=4, pos=1
怕, neg=17, pos=1
怖, neg=12, pos=1
逗, neg=3, pos=1
耗, neg=12, pos=1
怙, neg=2, pos=1
通, neg=16, pos=11
倚, neg=2, pos=4
怜, neg=13, pos=8
思, neg=13, pos=11
逝, neg=3, pos=1
逞, neg=5, pos=1
速, neg=3, pos=4
造, neg=27, pos=11
怠, neg=7, pos=1
急, neg=39, pos=1
倦, neg=9, pos=1
性, neg=55, pos=47
怨, neg=25, pos=1
怪, neg=26, pos=1
., neg=193, pos=1
逮, neg=2, pos=1
怯, neg=8, pos=3
耳, neg=14, pos=3
耸, neg=6, pos=1
债, neg=5, pos=1
逻, neg=3, pos=4
耻, neg=27, pos=2
总, neg=2, pos=1
逼, neg=22, pos=4
耽, neg=2, pos=1
倾, neg=14, pos=1
遁, neg=2, pos=1
恁, neg=4, pos=1
遂, neg=2, pos=1
假, neg=34, pos=1
遇, neg=5, pos=1
聊, neg=10, pos=1
恋, neg=5, pos=6
聋, neg=2, pos=1
职, neg=5, pos=2
灌, neg=2, pos=1
恍, neg=2, pos=1
遍, neg=2, pos=1
偏, neg=18, pos=7
遏, neg=5, pos=1
恐, neg=34, pos=1
道, neg=29, pos=13
联, neg=2, pos=3
遗, neg=13, pos=2
恙, neg=3, pos=1
做, neg=29, pos=1
聚, neg=2, pos=4
停, neg=12, pos=2
遢, neg=4, pos=1
恣, neg=3, pos=1
恨, neg=47, pos=1
恩, neg=6, pos=7
聪, neg=2, pos=8
火, neg=14, pos=2
恫, neg=2, pos=1
灭, neg=16, pos=1
遭, neg=9, pos=1
恭, neg=2, pos=9
遮, neg=5, pos=1
息, neg=17, pos=5
灯, neg=2, pos=1
恰, neg=3, pos=6
灰, neg=6, pos=1
遵, neg=3, pos=3
恶, neg=110, pos=3
偷, neg=35, pos=1
恸, neg=2, pos=1
x, neg=2, pos=1
恼, neg=30, pos=1
灼, neg=6, pos=1
灾, neg=7, pos=1
避, neg=20, pos=2
偿, neg=2, pos=2
灿, neg=2, pos=3
肃, neg=3, pos=4
悄, neg=5, pos=1
肆, neg=6, pos=1
悉, neg=3, pos=3
肉, neg=10, pos=1
邋, neg=4, pos=1
悍, neg=3, pos=1
炎, neg=2, pos=1
肏, neg=2, pos=1
悔, neg=10, pos=4
肖, neg=3, pos=1
悖, neg=2, pos=1
肘, neg=2, pos=1
悚, neg=5, pos=1
肚, neg=7, pos=1
肠, neg=4, pos=3
股, neg=8, pos=1
患, neg=13, pos=1
那, neg=6, pos=1
肤, neg=4, pos=1
肥, neg=9, pos=3
悦, neg=10, pos=10
邦, neg=2, pos=1
肩, neg=3, pos=1
肪, neg=3, pos=1
邪, neg=5, pos=2
炫, neg=2, pos=1
催, neg=4, pos=1
炮, neg=4, pos=1
邮, neg=2, pos=1
肮, neg=6, pos=1
悯, neg=3, pos=6
育, neg=8, pos=5
悲, neg=42, pos=9
傲, neg=16, pos=3
悴, neg=4, pos=1
炸, neg=8, pos=1
悸, neg=2, pos=1
点, neg=24, pos=6
肺, neg=2, pos=1
傻, neg=7, pos=1
悻, neg=3, pos=1
